outcome,modality,estimate,CI,SE,t,df,p,effect
suppress_siipsneg_L_Precun,mechanical,-0.007,"[ -0.09, 0.076]",0.042,-0.17,432.5,0.867,Stim level
suppress_siipsneg_L_Precun,mechanical,-0.151,"[-0.226,-0.077]",0.038,-4,224.6,0,Placebo
suppress_siipsneg_L_dlPFC,thermal,-0.075,"[-0.154, 0.005]",0.04,-1.85,707.3,0.065,Stim level
suppress_siipsneg_L_dlPFC,thermal,-0.049,"[-0.119, 0.021]",0.035,-1.39,453.6,0.167,Placebo
suppress_siipsneg_L_dlPFC,mechanical,-0.037,"[-0.117, 0.043]",0.041,-0.91,1380.2,0.361,Stim level
suppress_siipsneg_L_dlPFC,mechanical,-0.039,"[-0.112, 0.034]",0.037,-1.06,374.5,0.292,Placebo
suppress_siipsneg_R_NAc,thermal,-0.077,"[-0.161, 0.007]",0.043,-1.79,1333.3,0.074,Stim level
suppress_siipsneg_R_NAc,thermal,0.062,"[-0.016,  0.14]",0.04,1.56,314.3,0.12,Placebo
suppress_siipsneg_R_NAc,mechanical,-0.081,"[-0.169, 0.006]",0.044,-1.83,1411.6,0.068,Stim level
suppress_siipsneg_R_NAc,mechanical,-0.114,"[-0.189, -0.04]",0.038,-3.01,391.5,0.003,Placebo
suppress_siipsneg_R_S2,thermal,-0.115,"[ -0.19,-0.039]",0.038,-2.99,676.6,0.003,Stim level
suppress_siipsneg_R_S2,thermal,0.032,"[ -0.04, 0.104]",0.037,0.87,226.8,0.385,Placebo
suppress_siipsneg_R_S2,mechanical,-0.128,"[-0.206, -0.05]",0.04,-3.21,351.8,0.001,Stim level
suppress_siipsneg_R_S2,mechanical,-0.029,"[-0.104, 0.045]",0.038,-0.77,273.2,0.442,Placebo
suppress_siipsneg_R_SMC,thermal,-0.151,"[-0.229,-0.072]",0.04,-3.78,635.2,0,Stim level
suppress_siipsneg_R_SMC,thermal,0.034,"[-0.035, 0.104]",0.035,0.97,563.5,0.331,Placebo
suppress_siipsneg_R_SMC,mechanical,-0.025,"[-0.105, 0.055]",0.041,-0.6,569.3,0.547,Stim level
suppress_siipsneg_R_SMC,mechanical,0.051,"[-0.025, 0.128]",0.039,1.32,240.1,0.188,Placebo
suppress_siipsneg_R_dlPFC,thermal,-0.086,"[ -0.16,-0.013]",0.038,-2.3,944.8,0.022,Stim level
suppress_siipsneg_R_dlPFC,thermal,-0.031,"[-0.095, 0.033]",0.032,-0.96,354.2,0.339,Placebo
suppress_siipsneg_R_dlPFC,mechanical,-0.029,"[-0.108, 0.049]",0.04,-0.73,573.6,0.465,Stim level
suppress_siipsneg_R_dlPFC,mechanical,0.051,"[ -0.02, 0.122]",0.036,1.4,385.6,0.162,Placebo
white_matter,thermal,0.01,"[-0.069, 0.088]",0.04,0.24,625.3,0.811,Stim level
white_matter,thermal,0.039,"[-0.034, 0.111]",0.037,1.05,226.2,0.296,Placebo
white_matter,mechanical,0.097,"[ 0.017, 0.177]",0.041,2.39,801.9,0.017,Stim level
white_matter,mechanical,0.12,"[ 0.048, 0.193]",0.037,3.25,402.5,0.001,Placebo
