outcome,modality,estimate,CI,SE,t,df,p,effect
suppress_siipsneg_R_NAc,mechanical,-0.122,"[ -0.202, -0.042]",0.041,-3.01,391.5,0.003,Placebo
suppress_siipsneg_R_S2,thermal,-0.594,"[-0.984, -0.204]",0.199,-2.99,676.6,0.003,Stim level
suppress_siipsneg_R_S2,thermal,0.165,"[ -0.208,  0.539]",0.19,0.87,226.8,0.385,Placebo
suppress_siipsneg_R_S2,mechanical,-0.738,"[-1.189, -0.286]",0.23,-3.21,351.8,0.001,Stim level
suppress_siipsneg_R_S2,mechanical,-0.168,"[ -0.599,  0.262]",0.219,-0.77,273.2,0.442,Placebo
suppress_siipsneg_R_SMC,thermal,-5.533,"[-8.406, -2.659]",1.463,-3.78,635.8,0,Stim level
suppress_siipsneg_R_SMC,thermal,1.266,"[ -1.289,  3.821]",1.301,0.97,563.5,0.331,Placebo
suppress_siipsneg_R_SMC,mechanical,-1.005,"[-4.282,  2.271]",1.668,-0.6,569.3,0.547,Stim level
suppress_siipsneg_R_SMC,mechanical,2.107,"[ -1.039,  5.253]",1.597,1.32,240.1,0.188,Placebo
suppress_siipsneg_R_dlPFC,thermal,-1.273,"[ -2.36, -0.186]",0.554,-2.3,944.8,0.022,Stim level
suppress_siipsneg_R_dlPFC,thermal,-0.459,"[ -1.402,  0.483]",0.479,-0.96,354.2,0.339,Placebo
suppress_siipsneg_R_dlPFC,mechanical,-0.45,"[-1.658,  0.758]",0.615,-0.73,573.6,0.465,Stim level
suppress_siipsneg_R_dlPFC,mechanical,0.78,"[ -0.313,  1.873]",0.556,1.4,385.6,0.162,Placebo
white_matter,thermal,0.001,"[-0.007,  0.009]",0.004,0.24,625.3,0.811,Stim level
white_matter,thermal,0.004,"[ -0.004,  0.012]",0.004,1.05,226.2,0.296,Placebo
white_matter,mechanical,0.012,"[ 0.002,  0.022]",0.005,2.39,801.9,0.017,Stim level
white_matter,mechanical,0.015,"[  0.006,  0.024]",0.005,3.25,402.5,0.001,Placebo
