outcome,modality,estimate_yint,SE_yint,t_yint,DF_yint,p_yint,lower_yint,upper_yint,direction,significance
canlab2018_mean_Bstem_PAG,thermal,0.0999800438819366,0.0339306738188062,2.94659765425944,134.5160805202,0.00378813385213705,0.0328734290748476,0.167086658689026,+,**
rank_nps,thermal,0.158017796449751,0.0326283006595417,4.84296740117052,159.831317129077,2.99832729555582e-06,0.0935795963535993,0.222455996545903,+,***
rank_siips,thermal,0.206842142504145,0.0319489236094609,6.4741505858712,170.289614062344,9.80073799894399e-10,0.143775202431459,0.269909082576832,+,***
gray_matter,mechanical,0.138643765924403,0.0366672855495161,3.78112979585512,88.3410206023011,0.000283316118329102,0.0657791613020372,0.211508370546769,+,***
white_matter,mechanical,0.147866625604047,0.0338042606917625,4.37420084267897,114.356786612568,2.70369227699518e-05,0.0809028865347887,0.214830364673305,+,***
csf,mechanical,0.133224860309226,0.0350991692172493,3.79566990559291,283.547593935157,0.000180071871250798,0.0641368630986384,0.202312857519814,+,***
nps,mechanical,0.201696289361336,0.0369497330951097,5.45866701776068,62.9714048585719,8.63800281525329e-07,0.12785748348476,0.275535095237912,+,***
siips,mechanical,0.240862311990122,0.0355615771868923,6.77310544254775,67.9249218357406,3.64272700892343e-09,0.169898869313906,0.311825754666338,+,***
siipspos_dmPFC,mechanical,0.072153057260648,0.038420758412342,1.87797066591663,89.0013146020526,0.0636596657819339,-0.00418815578640162,0.148494270307698,+,n.s.
siipspos_R_MTG,mechanical,-0.0053852493387741,0.0336388857162041,-0.160090003700092,171.310118543286,0.872998783995541,-0.0717853313919469,0.0610148327143987,-,n.s.
siipsneg_R_LG,mechanical,-0.011320196797602,0.0350145043286572,-0.323300215572011,106.47917654062,0.747101965100162,-0.0807362507507513,0.0580958571555474,-,n.s.
siipsneg_L_STG,mechanical,-0.0913920049829332,0.0338844147680057,-2.69716935082577,120.027644973997,0.00799956145342406,-0.158480630663655,-0.0243033793022111,-,**
siipsneg_L_NAc,mechanical,-0.0297229467748431,0.0374274553404958,-0.794148212974647,71.2269478794481,0.429747130983957,-0.104347052681081,0.0449011591313948,-,n.s.
siipsneg_R_TP,mechanical,-0.0785153726610609,0.0334146528257404,-2.34972881719058,218.321973684502,0.019679324331787,-0.144371956937242,-0.0126587883848796,-,*
siipsneg_L_ITG,mechanical,-0.0221694262541291,0.0334182575527996,-0.663392644547735,199.915698381892,0.507843359069226,-0.0880669312759403,0.0437280787676822,-,n.s.
siipsneg_mid_precen,mechanical,-0.0275179254807344,0.0352900748207897,-0.779763874700639,90.2089670029366,0.437570943672908,-0.0976256061177994,0.0425897551563306,-,n.s.
siipsneg_vmpfc,mechanical,-0.0410433488530679,0.0355629490958,-1.15410419823465,55.3993108732695,0.253411979560318,-0.112301546729673,0.0302148490235373,-,n.s.
suppress_siipsneg_R_NAc,mechanical,-0.0846100588859919,0.0403121233081703,-2.09887378640865,93.5525114422987,0.0385216221700566,-0.164655716290806,-0.00456440148117772,-,*
suppress_siipsneg_L_dlPFC,mechanical,-0.0600970291486752,0.0334995008682832,-1.79396789775976,274.92352844653,0.0739170443158372,-0.126045161298393,0.00585110300104298,-,n.s.
suppress_siipsneg_R_dlPFC,mechanical,-0.087818414818444,0.0367492380911326,-2.38966627282632,219.198288660912,0.017710401823664,-0.160245483908921,-0.0153913457279671,-,*
suppress_siipsneg_R_S2,mechanical,-0.107753334382257,0.0344238803430672,-3.13019140516382,121.616708393641,0.00218769504968375,-0.175900995002512,-0.0396056737620021,-,**
